id,predicted_positions
300,"[5, 10, 11, 13]"
301,[5]
302,[3]
303,"[4, 12, 13]"
304,"[5, 8]"
305,"[3, 6, 13]"
306,"[5, 11]"
307,"[14, 15]"
308,"[13, 15]"
309,"[1, 4, 8]"
310,"[5, 12]"
311,"[3, 9]"
312,"[5, 9, 12]"
313,"[5, 11]"
314,"[3, 12]"
315,"[1, 4, 10, 13]"
316,"[5, 14]"
317,"[3, 9]"
318,[5]
319,[10]
320,"[1, 4, 7, 11, 14]"
321,"[5, 16]"
322,"[3, 9]"
323,"[5, 11]"
324,"[3, 9, 10]"
325,"[4, 8]"
326,"[5, 16]"
327,[3]
328,"[5, 14]"
329,"[7, 12]"
330,"[3, 10]"
331,"[13, 15, 17]"
332,"[5, 10, 11, 13]"
333,"[5, 14]"
334,"[3, 9]"
335,[14]
336,[3]
337,[]
338,[4]
339,"[3, 9, 22]"
340,"[11, 20, 28]"
341,[]
342,[9]
343,"[6, 10]"
344,"[6, 9, 17]"
345,"[2, 7, 9, 20, 23]"
346,"[5, 9, 13]"
347,"[6, 11, 12, 19]"
348,"[7, 9, 11]"
349,"[6, 17, 18, 23]"
350,"[8, 17, 18]"
351,"[5, 7, 19]"
352,"[4, 10]"
353,"[5, 13]"
354,"[4, 12]"
355,"[5, 11, 12]"
356,"[5, 7, 10]"
357,"[3, 8, 10]"
358,"[8, 10, 18]"
359,"[6, 11]"
360,"[5, 10]"
361,"[4, 12, 18]"
362,"[1, 6, 11, 16, 18]"
363,"[7, 12, 15]"
364,"[5, 10, 16]"
365,"[3, 10, 19, 21]"
366,"[7, 10]"
367,"[7, 12]"
368,"[3, 11, 12, 18]"
369,"[6, 16, 18]"
370,"[3, 9, 19]"
371,"[6, 13, 20]"
372,"[7, 10]"
373,"[8, 14, 19]"
374,"[5, 6, 10]"
375,"[3, 7, 15, 17]"
376,"[8, 15]"
377,"[6, 11]"
378,[10]
379,"[11, 12]"
380,"[5, 16]"
381,"[6, 8]"
382,"[6, 8]"
383,"[1, 7, 9]"
384,"[4, 12]"
385,"[2, 7, 15, 21, 24]"
386,"[9, 11]"
387,"[3, 11, 13, 16]"
388,"[6, 12]"
389,"[4, 10]"
390,[13]
391,"[4, 12]"
392,"[8, 11]"
393,"[6, 12]"
394,"[5, 11]"
395,"[6, 19]"
396,[10]
397,[10]
398,"[5, 11, 13]"
399,[12]
400,"[6, 10, 16]"
401,"[4, 10]"
402,"[6, 12]"
403,[4]
404,"[4, 14, 17]"
405,"[3, 10, 13]"
406,"[6, 11]"
407,"[7, 15]"
408,[12]
409,"[6, 12]"
410,"[3, 8]"
411,"[6, 11]"
412,"[5, 10]"
413,"[8, 17]"
414,"[4, 10, 19]"
415,"[6, 12]"
416,"[11, 14]"
417,"[6, 14]"
418,"[3, 5, 9]"
419,"[2, 7, 11]"
420,"[4, 12]"
421,"[4, 12, 14]"
422,"[3, 10]"
423,[10]
424,"[3, 14, 16]"
425,[11]
426,"[3, 8, 10]"
427,"[6, 15]"
428,"[5, 12]"
429,"[3, 10]"
430,"[8, 14, 17]"
431,"[6, 17, 21]"
432,"[3, 8, 13, 19]"
433,"[9, 16, 18, 19]"
434,"[8, 13, 22]"
435,"[5, 7, 12]"
436,"[1, 4, 6, 11, 16, 22, 28, 32]"
437,"[5, 13, 18, 24, 26]"
438,"[5, 9, 16, 24, 26, 31]"
439,"[11, 20]"
440,"[4, 11, 12, 17, 19, 22]"
441,"[6, 12, 17, 23]"
442,"[4, 11, 13, 14, 15, 17]"
443,[10]
444,"[6, 12]"
445,"[2, 11]"
446,"[2, 9, 11]"
447,"[10, 13, 15, 18]"
448,"[4, 8, 11, 12, 15]"
449,[7]
450,"[8, 13]"
451,"[8, 9, 12, 15]"
452,"[3, 8, 15, 16]"
453,"[2, 3, 10, 13]"
454,"[2, 10]"
455,[8]
456,"[2, 8, 11]"
457,"[9, 14, 23]"
458,"[9, 18, 22]"
459,"[4, 11, 13, 16, 19]"
460,"[5, 9, 20]"
461,"[6, 7]"
462,"[6, 12]"
463,"[6, 15]"
464,"[6, 8]"
465,"[1, 4, 9]"
466,"[4, 15]"
467,"[11, 14, 15, 21, 24]"
468,"[11, 13, 15, 20]"
469,"[6, 11, 20]"
470,"[5, 8, 16, 25]"
471,"[9, 16]"
472,[8]
473,"[2, 11]"
474,"[1, 5, 11, 22]"
475,"[3, 13]"
476,"[3, 5, 12, 20]"
477,"[1, 10, 13, 17, 21]"
478,"[6, 10, 19]"
479,"[6, 11]"
480,"[1, 10, 15]"
481,"[8, 9, 14, 16, 19]"
482,"[7, 13, 14, 20]"
483,"[2, 6]"
484,"[1, 12]"
485,"[7, 14, 15, 23]"
486,"[4, 7, 8, 18, 21, 27, 29]"
487,"[4, 6, 12, 17, 20, 26, 27]"
488,"[4, 5, 9, 13, 20, 29]"
489,"[6, 11, 17, 18, 24]"
490,"[2, 9, 10, 16]"
491,"[4, 8, 9, 15]"
492,"[1, 7, 17, 20, 24]"
493,"[4, 12, 19]"
494,[11]
495,"[7, 18]"
496,"[4, 10, 13, 19, 22]"
497,"[5, 14]"
498,"[6, 7, 16, 17, 19]"
499,"[5, 12]"
500,"[3, 11, 14, 16]"
501,"[3, 11, 13, 15, 21, 27, 28]"
502,"[1, 3, 8, 16, 25]"
503,"[5, 12, 17, 23]"
504,[12]
505,"[3, 6, 14]"
506,"[2, 9, 14]"
507,"[1, 2, 4, 9, 12]"
508,"[6, 13]"
509,"[6, 7, 11, 18]"
510,"[7, 13, 16]"
511,"[3, 9]"
512,"[7, 10, 16]"
513,"[4, 11, 16]"
514,"[4, 12]"
515,"[6, 9, 14, 15]"
516,[6]
517,"[6, 11, 16]"
518,"[7, 11, 13]"
519,"[6, 12, 18]"
520,"[6, 8, 15]"
521,"[7, 12, 15]"
522,"[7, 12, 15]"
523,"[1, 7, 11, 17]"
524,"[6, 10, 17]"
525,"[1, 10, 11, 16, 21]"
526,"[1, 6, 11, 17, 21]"
527,"[3, 9, 12, 13]"
528,"[6, 9, 10]"
529,"[3, 12, 16]"
530,"[6, 10, 17, 23]"
531,"[6, 12, 18, 19, 26, 27]"
532,"[5, 7, 9, 13, 19]"
533,"[6, 12, 17, 19, 25]"
534,"[3, 9]"
535,"[3, 5, 9]"
536,"[6, 10, 17]"
537,"[1, 10, 11, 16, 22]"
538,"[6, 10, 17, 22, 27]"
539,[7]
540,[6]
541,"[4, 11]"
542,"[3, 11]"
543,[8]
544,"[1, 6, 9]"
545,"[2, 4, 9]"
546,"[2, 8, 10]"
547,"[10, 15, 17]"
548,"[10, 15, 17]"
549,[7]
550,[6]
551,"[1, 8]"
552,"[2, 8, 10]"
553,[7]
554,"[2, 8]"
555,"[5, 12, 13, 18, 24, 30]"
556,"[1, 7, 9, 14, 22]"
557,"[6, 8, 12, 20, 25, 26]"
558,"[9, 10, 11, 13, 17, 27]"
559,"[2, 6, 10, 11, 18, 23]"
560,"[6, 9, 11, 14, 16, 21, 23, 34]"
561,"[6, 8, 16, 27]"
562,"[4, 12, 21, 26, 30]"
563,"[1, 6, 8, 13, 17, 26]"
564,"[1, 6, 8, 13, 19]"
565,"[1, 4, 10, 12, 16, 22, 24]"
566,"[1, 4, 10, 12, 19]"
567,"[9, 12, 13, 17, 21]"
568,"[4, 16, 20, 21]"
569,"[4, 12, 18, 26, 34]"
570,"[6, 8, 18]"
571,"[6, 11, 17, 21, 23]"
572,"[6, 12, 15, 20]"
573,"[1, 4, 11, 14, 23, 24]"
574,"[4, 11, 14, 27]"
575,"[5, 9, 12, 13, 22, 28]"
576,"[2, 4, 10, 12, 18, 21, 22]"
577,"[3, 10, 13, 19, 21]"
578,"[5, 11, 17, 22]"
579,"[7, 11, 22, 29]"
580,"[4, 16, 20, 21]"
581,"[5, 11, 12]"
582,"[5, 13]"
583,"[13, 14]"
584,[2]
585,"[1, 7, 11, 17]"
586,"[11, 15]"
587,"[5, 14]"
588,[5]
589,[]
590,"[6, 7, 10]"
591,[9]
592,[6]
593,[]
594,"[2, 4]"
595,[8]
596,[]
597,"[2, 8, 13, 15, 20]"
598,"[9, 14]"
599,"[2, 10, 14]"
600,[6]
601,"[12, 14]"
602,"[7, 13, 14]"
603,"[2, 9, 14, 16]"
604,"[3, 6]"
605,[5]
606,[5]
607,"[3, 5, 9, 20, 28]"
608,"[5, 13, 18, 29]"
609,"[6, 7]"
610,"[5, 12, 13, 20]"
611,[8]
612,"[2, 5, 13, 25, 27]"
613,"[3, 4, 9, 10, 16, 25]"
614,[6]
615,"[10, 11]"
616,"[6, 8]"
617,[1]
618,[6]
619,"[6, 8, 15]"
620,"[1, 4, 12]"
621,"[1, 2]"
622,"[2, 8, 10]"
623,"[2, 8, 10, 19, 20]"
624,"[7, 14, 21]"
625,[9]
626,"[6, 15, 18]"
627,"[6, 10, 13, 16, 18]"
628,"[2, 9]"
629,[7]
630,[]
631,[6]
632,[]
633,"[5, 15]"
634,[]
635,"[1, 7, 11]"
636,[1]
637,[4]
638,[10]
639,"[1, 4, 11]"
640,"[3, 17]"
641,"[2, 8, 13, 14, 15, 17]"
642,"[6, 11, 16]"
643,"[1, 2, 6, 10, 17]"
644,"[5, 7, 11]"
645,"[3, 10, 18, 21, 28]"
646,"[3, 10, 18, 26, 27]"
647,"[5, 9, 15, 19, 23, 25]"
648,"[2, 3, 11, 14, 18, 19, 23, 30]"
649,"[1, 5, 10, 15, 16, 17, 21, 23]"
650,"[5, 9, 18, 23, 27, 33]"
651,"[1, 6, 13, 19, 20, 28]"
652,"[2, 9, 11, 23, 24, 28]"
653,"[1, 7, 14, 15, 19]"
654,"[6, 12, 18, 23, 30]"
655,"[1, 5, 6, 16, 22, 32, 33]"
656,"[2, 8, 15, 17, 23]"
657,"[3, 11, 12, 19, 21, 27]"
658,"[4, 5, 12, 17, 21, 22, 29]"
659,"[2, 14, 16, 19, 33, 34]"
660,"[2, 5, 8, 14, 15, 16, 22, 28]"
661,"[10, 11, 17]"
662,"[5, 8, 17, 21]"
663,"[5, 9, 11, 17, 18, 19, 24]"
664,"[4, 13, 14, 24, 27, 29]"
665,"[3, 7, 11, 16]"
666,"[3, 8, 12, 19]"
667,"[4, 16, 20, 24, 27]"
668,"[1, 9, 16]"
669,"[1, 9]"
670,"[7, 14, 15, 21, 24, 30, 36]"
671,"[7, 15, 16, 23, 25, 31, 33]"
672,"[15, 18, 20, 23, 26, 30, 32]"
673,"[6, 12, 17, 26, 28, 33, 38]"
674,"[4, 7, 9, 15, 18, 20, 22]"
675,"[2, 6, 12, 13, 18, 24, 28]"
676,"[6, 9, 15, 18, 21, 34]"
677,"[6, 13, 14, 29]"
678,"[3, 9, 13, 16, 20, 24, 25, 29]"
679,"[4, 13, 14, 18, 24, 25, 30]"
680,"[4, 8]"
681,"[7, 14, 15, 21, 24, 30, 36]"
682,"[7, 13, 18, 20, 27, 28]"
683,"[5, 10, 17, 21, 26, 27, 34]"
684,"[5, 11, 16, 23, 26, 29]"
685,[4]
686,"[5, 11, 20]"
687,"[6, 14, 24]"
688,"[1, 2, 7, 13, 15]"
689,"[1, 3, 9, 17]"
690,"[2, 5, 10, 11, 13]"
691,[5]
692,"[2, 7, 11, 12]"
693,"[3, 6]"
694,"[2, 7, 17, 19]"
695,[9]
696,"[2, 5, 6, 8, 14, 19]"
697,"[7, 8]"
698,"[1, 4, 6, 13]"
699,"[3, 10]"
700,"[4, 7, 11]"
701,"[3, 9]"
702,"[2, 10, 16]"
703,"[7, 13, 15, 20]"
704,"[2, 5, 13, 15, 20]"
705,"[6, 16, 19, 26]"
706,"[1, 4, 7, 11]"
707,"[3, 6, 8, 11]"
708,"[2, 5, 7, 9]"
709,"[6, 7]"
710,[9]
711,[8]
712,"[6, 11]"
713,[10]
714,"[3, 11, 18]"
715,"[3, 11]"
716,"[5, 8, 13, 17, 22]"
717,"[2, 10, 17]"
718,[]
719,[8]
720,"[1, 6]"
721,[8]
722,[8]
723,"[2, 9]"
724,"[1, 5]"
725,[9]
726,[10]
727,"[6, 11, 13, 17]"
728,"[8, 13, 14, 20]"
729,"[3, 13, 14, 21, 24]"
730,"[6, 11, 12, 17, 19]"
731,"[1, 11, 14, 20]"
732,"[7, 15]"
733,"[7, 12, 14, 22]"
734,"[2, 11, 15]"
735,"[5, 12, 20, 21]"
736,"[2, 6, 9, 14, 16]"
737,"[1, 10, 15]"
738,"[2, 6, 14, 20]"
739,"[11, 12, 14]"
740,"[12, 19]"
741,"[6, 9, 11, 19]"
742,"[2, 7, 10, 15, 24]"
743,"[6, 11, 12, 15, 17, 28]"
744,"[8, 12, 14, 22, 23, 27, 33]"
745,"[1, 9, 12]"
746,"[9, 17, 22, 27]"
747,"[2, 9, 19]"
748,"[2, 5, 11, 13, 17, 21]"
749,"[2, 4, 8, 9, 14, 23]"
750,"[4, 9, 16, 20, 25, 31]"
751,"[2, 4, 8, 9, 11, 19, 20]"
752,"[6, 13, 18, 24, 25, 29]"
753,"[6, 11, 12, 15, 17]"
754,"[7, 13, 15, 21, 30, 31]"
755,"[2, 6]"
756,"[1, 7, 9, 18, 19, 24, 29]"
757,"[1, 2, 7, 11, 14, 19, 22, 23, 29, 34, 35]"
758,"[6, 12, 15, 21, 26, 29]"
759,"[2, 7, 9, 15, 19, 23, 24, 30, 33, 35, 39]"
760,"[9, 12, 13, 14, 19, 23]"
761,"[2, 6, 8, 14, 21, 25, 32]"
762,"[1, 8, 10, 20, 23, 24, 30, 35, 36]"
763,[9]
764,"[1, 14, 16]"
765,"[1, 7, 8]"
766,"[9, 15, 16, 21, 27]"
767,"[6, 22, 25]"
768,"[12, 14, 18, 19, 20, 24, 32, 39, 41]"
769,"[5, 6, 11, 20, 22, 28, 32, 38]"
770,"[2, 4, 10, 15, 23, 24, 26, 31, 36]"
771,"[1, 3, 13, 14, 21, 24, 25, 33, 38]"
772,"[1, 9, 14]"
773,"[1, 14, 16]"
774,"[1, 7]"
775,"[11, 14, 15, 20]"
776,"[2, 3, 8, 11, 17, 20]"
777,"[2, 7, 19]"
778,"[5, 18]"
779,"[3, 9, 22]"
780,"[2, 6, 12, 21]"
781,"[6, 8, 13, 16, 22, 26]"
782,"[3, 10, 13, 20, 29]"
783,"[1, 7]"
784,"[4, 5, 12, 13, 14, 19, 20, 28, 36]"
785,"[9, 17, 18, 22, 32, 38, 49]"
786,"[1, 6, 9, 12, 18, 25]"
787,"[6, 8, 16, 24, 25, 27]"
788,"[2, 9, 11, 15, 23, 25]"
789,"[1, 6, 14, 20, 28, 30]"
790,"[3, 8, 14]"
791,"[6, 8, 10]"
792,"[1, 7, 11, 17, 20, 25]"
793,"[7, 10]"
794,"[7, 9, 14, 19]"
795,"[7, 12, 14, 21, 23]"
796,"[6, 7, 16, 23, 25, 31]"
797,"[1, 7, 10, 18, 24, 30]"
798,"[3, 14, 16, 20]"
799,"[10, 15, 21, 24]"
800,"[2, 7, 9, 15, 17, 23]"
801,"[11, 19, 22, 28]"
802,"[2, 5, 10, 13, 15, 23]"
803,"[9, 15, 16, 23]"
804,"[1, 8, 11, 13, 15, 21, 25]"
805,"[7, 13, 17, 23, 27, 29]"
806,"[5, 8, 13, 14, 19, 23]"
807,"[8, 14, 19, 26]"
808,"[1, 6, 13, 16, 24]"
809,"[1, 4, 7, 14, 17, 26, 29]"
810,"[2, 6, 13, 23]"
811,"[1, 8, 10, 15, 23, 24]"
812,"[4, 11, 21, 24]"
813,"[7, 14, 15, 24]"
814,"[9, 16, 17, 26]"
815,"[7, 16, 18]"
816,"[2, 5, 14, 20, 24]"
817,"[12, 18, 27]"
818,"[5, 8, 12, 20]"
819,"[6, 15, 21]"
820,"[6, 12, 22]"
821,"[9, 16, 18, 21, 26]"
822,"[2, 9, 12, 16, 23, 24]"
823,"[3, 9, 13, 18, 25, 27]"
824,"[2, 8, 16, 23]"
825,"[6, 7, 9, 13, 15, 20, 21]"
826,"[1, 12, 14, 20, 23, 25]"
827,"[6, 14, 15, 22]"
828,"[2, 15, 22]"
829,"[1, 6, 11, 13, 15, 19]"
830,"[3, 11, 19, 26]"
831,"[1, 11]"
832,"[2, 6, 13, 15]"
833,"[6, 8, 12, 18]"
834,"[1, 4, 5, 9, 18, 21]"
835,"[3, 5, 20]"
836,"[1, 8, 15, 18, 20]"
837,"[7, 9, 17, 20, 24, 26]"
838,"[8, 12, 16]"
839,"[7, 10, 14, 15, 18]"
840,"[1, 9, 17, 24]"
841,"[13, 21]"
842,"[1, 9, 14, 15, 19]"
843,"[1, 6, 11, 12, 17, 21]"
844,"[1, 11]"
845,"[1, 5, 9, 16, 18]"
846,"[2, 11]"
847,"[1, 9, 11]"
848,"[1, 8, 15, 18, 21]"
849,"[2, 6, 14, 23]"
850,"[9, 15, 16, 21, 23]"
851,"[4, 12, 14, 19, 20]"
852,"[5, 7, 15, 19]"
853,"[1, 2, 8, 13]"
854,"[7, 10, 14, 15, 18]"
855,"[10, 18, 19, 26, 28]"
856,"[1, 2, 14, 21]"
857,"[8, 19, 25, 29]"
858,"[7, 18, 20, 24]"
859,"[4, 7, 12, 19, 20, 22, 23, 26, 28]"
860,"[1, 4, 7, 9, 16, 17, 19, 20, 23, 25]"
861,"[9, 17, 21, 29]"
862,"[4, 12]"
863,"[4, 12]"
864,"[2, 7, 15, 21, 23]"
865,"[6, 11, 20, 27, 31]"
866,"[3, 6, 11, 19, 27]"
867,"[3, 11, 14, 27]"
868,"[6, 11, 17, 21, 24]"
869,"[6, 16, 17, 18, 22]"
870,"[2, 8, 19, 26, 28]"
871,"[1, 7, 12, 21, 28, 37]"
872,"[4, 5, 9]"
873,"[1, 4, 12]"
874,[11]
875,[6]
876,[7]
877,"[1, 5]"
878,"[2, 9]"
879,[8]
880,"[2, 5, 11]"
881,[7]
882,"[6, 12]"
883,[9]
884,[1]
885,"[2, 6, 11]"
886,"[3, 11]"
887,"[6, 13]"
888,"[1, 4, 10]"
889,[9]
890,"[2, 9, 12]"
891,"[4, 9]"
892,"[1, 6]"
893,[6]
894,"[2, 8]"
895,"[6, 11]"
896,[9]
897,"[7, 12]"
898,"[6, 12]"
899,"[3, 11]"
900,"[7, 9]"
901,"[2, 6]"
902,[11]
903,"[8, 12, 21]"
904,"[1, 12, 16]"
905,"[2, 6, 11, 13, 17, 21]"
906,"[10, 16, 18]"
907,"[2, 4, 10, 12, 15, 17]"
908,"[8, 9, 14, 17, 19, 24, 28]"
909,"[6, 12, 14, 21]"
910,"[2, 8, 15, 18]"
911,"[8, 10]"
912,"[5, 10, 19, 29]"
913,"[1, 10, 14, 15, 24]"
914,"[6, 13, 19, 22]"
915,"[1, 7, 14, 19, 28]"
916,"[5, 7, 13, 16, 18, 23, 27]"
917,"[4, 6, 12, 13, 15, 20]"
918,"[2, 6, 8, 15, 16, 20, 24]"
919,"[2, 3, 7, 12, 14, 18, 22]"
920,"[6, 13, 16, 19, 20, 23]"
921,"[3, 14, 21]"
922,"[3, 5, 10, 13, 15, 19, 22, 28]"
923,"[2, 6, 9, 15]"
924,"[5, 7, 19]"
925,"[12, 17, 21]"
926,"[5, 7, 13, 18, 20, 25]"
927,"[5, 12, 13, 16]"
928,"[14, 21]"
929,"[9, 13, 19, 20]"
930,"[6, 7, 13, 14, 21]"
931,"[6, 8, 13, 16, 18]"
932,"[1, 7, 17, 22, 27]"
933,"[2, 8, 14, 15, 21]"
934,"[1, 6, 8, 14, 18, 21]"
935,"[7, 15, 17]"
936,"[8, 16, 21, 25]"
937,"[5, 14, 20, 24]"
938,"[5, 15, 21]"
939,"[16, 21, 23]"
940,"[6, 12, 14, 19]"
941,"[10, 15]"
942,"[8, 15]"
943,"[6, 13, 22]"
944,"[9, 11, 16]"
945,"[9, 14, 28]"
946,"[6, 12, 14]"
947,"[3, 13, 19, 21]"
948,"[7, 10, 15, 16, 20, 27]"
949,"[2, 10, 11, 15]"
950,"[2, 10, 11, 15]"
951,"[8, 10, 16, 24, 26]"
952,"[1, 5, 8, 16, 18, 19, 21]"
953,"[6, 11]"
954,"[1, 7, 9, 20, 24]"
955,"[1, 6, 8, 16, 17]"
956,"[6, 14, 15]"
957,"[2, 9, 10, 25, 29, 30]"
958,"[4, 12]"
959,"[2, 5, 8, 13, 20]"
960,"[2, 10, 12]"
961,"[6, 11]"
962,"[2, 4, 10, 15]"
963,"[2, 4, 10, 15]"
964,"[6, 11, 20]"
965,"[6, 7, 14, 15, 21]"
966,"[6, 11, 20]"
967,"[11, 20]"
968,"[2, 7, 11, 16, 19, 25]"
969,"[2, 7, 11, 16, 18, 20, 24, 28]"
